product_id,product_name,category,price,stock,weight_kg,description,created_at
127,Szampon 2.0,Sports,58.81,27,7.52,,2026-01-02
128,Słownik S,TOYS,57.2,39,7.85,Opis produktu numer 128,2025-08-08
129,Dywan Max,automotive,178.37,440,0.36,Opis produktu numer 129,2025-08-26
130,Sukienka Ultra,automotive,235.23,16,,Opis produktu numer 130,2025-10-30
131,Sofa 2.0,BEAUTY,248.85,56,7.41,Opis produktu numer 131,2025-07-01
132,Filtr 2.0,Automotive,37.31,134,14.57,Opis produktu numer 132,2025-10-05
133,Plecak Mini,ELECTRONICS,420.1,178,8.8,Opis produktu numer 133,2025-05-18
134,Podręcznik Ultra,clothing,211.85,28,3.79,Opis produktu numer 134,2025-06-04
135,Koszula Plus,BOOKS,273.82,19,12.96,Opis produktu numer 135,2025-08-31
136,Hantle Pro,Automotive,195.09,199,1.56,Opis produktu numer 136,2025-04-15
137,Krzesło Mini,Automotive,176.37,314,14.54,,2025-05-13
138,Kamera XL,sports,498.15,205,9.41,Opis produktu numer 138,2025-06-11
139,Spodnie S,toys,270.22,218,11.96,Opis produktu numer 139,2025-10-31
140,Perfumy Max,Beauty,213.01,128,6.85,Opis produktu numer 140,2026-01-01
141,Smartfon XL,Home & Garden,481.44,380,4.09,Opis produktu numer 141,2025-05-24
142,Puzzle S,Electronics,82.39,77,11.51,Opis produktu numer 142,2025-09-05
143,Powieść Plus,Sports,150.65,82,9.06,Opis produktu numer 143,2026-02-04
144,Kurtka Elite,ELECTRONICS,237.44,286,6.39,Opis produktu numer 144,2025-12-21
145,Sofa Max,HOME & GARDEN,146.11,281,,Opis produktu numer 145,2025-07-29
146,Smartfon Pro,clothing,41.16,489,5.52,Opis produktu numer 146,2026-02-16
147,Klocki Basic,SPORTS,467.14,267,8.75,Opis produktu numer 147,2025-07-09
148,Mata 2.0,CLOTHING,405.28,168,11.08,Opis produktu numer 148,2025-12-04
149,Puzzle Elite,HOME & GARDEN,144.53,209,8.88,Opis produktu numer 149,2025-09-24
150,Sukienka Mini,beauty,146.09,401,5.51,Opis produktu numer 150,2025-10-28
151,Smartfon S,Electronics,471.02,353,10.11,Opis produktu numer 151,2025-09-19
152,Kask Mini,Clothing,226.78,4,5.96,Opis produktu numer 152,2025-11-24
153,Kask Plus,sports,88.51,224,13.2,Opis produktu numer 153,2025-09-07
154,Tablet Max,Clothing,240.83,211,5.06,Opis produktu numer 154,2026-02-11
155,Sofa Max,clothing,408.58,377,10.46,Opis produktu numer 155,2025-05-10
156,Lampa 2.0,HOME & GARDEN,159.72,294,,,2025-07-13
157,Buty S,Beauty,244.4,376,,,2025-06-04
158,Powieść Max,SPORTS,202.81,193,13.28,,2026-03-23
159,Olej silnikowy S,Sports,107.15,359,0.84,Opis produktu numer 159,2025-05-31
160,Mata Basic,Clothing,287.95,7,6.58,Opis produktu numer 160,2025-08-14
161,Szampon Plus,Sports,432.35,400,11.22,Opis produktu numer 161,2025-08-26
162,Krzesło S,Sports,341.82,214,,Opis produktu numer 162,2026-03-20
163,Plecak Max,Sports,191.12,350,1.38,Opis produktu numer 163,2025-10-20
164,Klocki Elite,Beauty,135.55,48,0.88,Opis produktu numer 164,2025-08-05
165,Album S,ELECTRONICS,196.66,500,5.63,Opis produktu numer 165,2025-06-21
166,Tablet S,home & garden,465.86,449,1.44,Opis produktu numer 166,2025-08-25
167,Kurtka Max,clothing,254.61,498,11.24,Opis produktu numer 167,2025-11-10
168,Mata S,Books,90.84,377,11.48,,2025-05-02
169,Gra planszowa Pro,SPORTS,27.57,133,,Opis produktu numer 169,2026-02-03
170,Szampon Pro,automotive,247.75,252,,Opis produktu numer 170,2026-01-18
171,Sukienka Mini,CLOTHING,419.13,383,4.16,Opis produktu numer 171,2025-06-08
172,Krzesło S,Electronics,214.05,39,7.52,,2025-10-17
173,Smartfon Max,clothing,476.1,428,0.53,Opis produktu numer 173,2025-04-06
174,Krem 2.0,Books,-485.19,335,6.85,Opis produktu numer 174,2025-06-16
175,Buty Elite,Electronics,401.09,380,,Opis produktu numer 175,2025-09-20
176,Koszula Ultra,BOOKS,434.1,45,,,2025-09-17
177,Klocki Max,HOME & GARDEN,221.86,412,13.57,Opis produktu numer 177,2025-10-02
178,Spodnie Mini,sports,243.46,288,1.44,Opis produktu numer 178,2025-09-27
179,Lusterko Basic,Beauty,261.54,498,3.44,Opis produktu numer 179,2026-01-14
180,Szampon XL,clothing,454.53,244,14.76,Opis produktu numer 180,2025-11-01
181,Rower XL,beauty,47.5,23,7.71,Opis produktu numer 181,2025-08-09
182,Filtr Max,toys,256.69,58,7.0,Opis produktu numer 182,2025-09-14
183,Tablet Plus,Beauty,297.73,232,6.8,Opis produktu numer 183,2025-10-11
184,Lampa Elite,HOME & GARDEN,137.07,344,,Opis produktu numer 184,2026-04-01
185,Klocki Plus,ELECTRONICS,348.99,444,11.19,Opis produktu numer 185,2025-10-30
186,Lusterko S,Toys,340.8,411,1.96,,2026-02-05
187,Smartfon Elite,ELECTRONICS,328.37,223,12.89,Opis produktu numer 187,2026-02-18
188,Kask 2.0,home & garden,-91.39,78,6.73,Opis produktu numer 188,2026-03-24
189,Gra planszowa S,SPORTS,418.58,26,1.63,Opis produktu numer 189,2025-08-25
190,Lalka 2.0,BOOKS,261.54,371,10.21,Opis produktu numer 190,2025-07-28
191,Stół Pro,electronics,41.12,457,13.35,,2025-05-20
192,Album 2.0,BEAUTY,104.18,176,7.66,Opis produktu numer 192,2025-04-18
193,Podręcznik S,AUTOMOTIVE,358.58,491,14.12,Opis produktu numer 193,2025-10-01
194,Krem Basic,sports,336.86,66,,,2025-07-26
195,Spodnie Ultra,automotive,33.05,9,3.99,Opis produktu numer 195,2026-01-04
196,Perfumy Pro,clothing,121.08,287,3.94,Opis produktu numer 196,2025-10-04
197,Tablet XL,Books,438.11,309,10.63,Opis produktu numer 197,2025-08-22
198,Samochodzik Plus,Clothing,430.61,52,0.73,,2025-05-16
199,Sukienka Elite,TOYS,226.34,259,13.07,,2025-09-29
200,Podręcznik Basic,Clothing,213.72,393,,Opis produktu numer 200,2025-08-04
